名称,来源,页码,体型,类型,阵营,AC,HP,速度,力量,敏捷,体质,智力,感知,魅力,豁免骰,技能,伤害易伤,伤害抗性,伤害免疫,状态免疫,感官,语言,CR,特质,动作,附赠动作,反应,传奇动作,神话动作,巢穴动作,区域效应,环境,宝藏
成年金龙,MM'25,145,巨型,龙 (金属),守序 善良,19,243 (18d12 + 126),"40 尺, 飞行 80 尺, 游泳 40 尺",27,14,25,16,15,24,"Dex +8, Wis +8","洞悉 +8, 察觉 +14, 游说 +13, 隐匿 +8",,,火焰,,"盲视 60 尺, 黑暗视觉 120 尺, 被动察觉 24","通用语, 龙语","17 (XP 18,000, 或 20,000在巢穴中时; PB +6)","传奇抗性（3/日，或巢穴内4/日） Legendary Resistance. 龙豁免失败时，可以将其改为豁免成功。

水陆两栖 Amphibious. 该龙可以在空气和水中呼吸。","多重攻击 Multiattack. 该龙发动三次撕裂攻击。其可以将其中一次攻击替换为使用（A）施法施展光导箭（二环版本）或（B）弱化吐息。

撕裂 Rend. 近战攻击检定: +14，触及10尺。命中: 17（2d8 + 8）挥砍伤害外加4（1d8）火焰伤害。

施法. 金龙施展以下一道法术，无需材料成分并使用魅力作为施法属性（法术豁免DC 21，法术攻击命中+13）：

随意: 侦测魔法, 光导箭（二环版本）, 形体变化（仅野兽与类人形态，不会因此法术获得临时生命值，但无需为维持此法术而保有临时生命值或维持专注）

每项1/日: 焰击术, 诚实之域

火焰吐息 (充能 5–6) Fire Breath. 敏捷 豁免检定: DC 21，60尺锥状区域内的每名生物。失败: 66（12d10）火焰伤害。成功: 半伤。

弱化吐息 Weakening Breath. 力量 豁免检定: DC 21，60尺锥状区域内未被此吐息影响的每名生物。失败: 目标进行基于力量的D20 检定时具有劣势，且其伤害掷骰承受3（1d6）减值。目标在其回合结束时重复豁免，成功则终止其身上的该效应。1分钟后，其豁免自动成功。",,,"放逐 Banish. 魅力 豁免检定: DC 21，120尺内金龙可见的一个生物。失败: 10（3d6）力场伤害，且目标陷入失能状态并被转移至一处无害的半位面直至金龙的下个回合开始，此时其将重新出现在位于金龙120尺内由金龙选择的一处未占据空间。失败或成功: 金龙直至其下个回合开始都无法再执行此动作。

明光道标 Guiding Light. 青铜龙使用施法施展光导箭（二环版本）。

猛扑 Pounce. 红龙移动至多等于其速度一半的距离，并发动一次撕裂攻击。",,,"成年或远古金龙所在巢穴的区域因其存在而发生改变，产生以下影响：

梦境信使. 当在巢穴中时，龙可以施放托梦术，无需材料成分并使用魅力作为施法属性。以此方式施放该法术时，龙可以以6英里范围内的任何生物为目标。

映照未来的雾影. 巢穴周围1英里范围内的区域被乳白色雾气轻度遮蔽。在该区域内，生物不会被突袭，因为雾气会形成预示危险的形状。

如果龙死亡或将巢穴移至其他地方，这些效果立即结束。","森林, 草地",奥秘
成年银龙,MM'25,279,巨型,龙 (金属),守序 善良,19,216 (16d12 + 112),"40 尺, 飞行 80 尺",27,10,25,16,13,22,"Dex +5, Wis +6","历史 +8, 察觉 +11, 隐匿 +5",,,寒冷,,"盲视 60 尺, 黑暗视觉 120 尺, 被动察觉 21","通用语, 龙语","16 (XP 15,000, 或 18,000在巢穴中时; PB +5)",传奇抗性（3/日，或巢穴内4/日） Legendary Resistance. 龙豁免失败时，可以将其改为豁免成功。,"多重攻击 Multiattack. 该龙发动三次撕裂攻击。其可以将其中一次攻击替换为使用（A）麻痹吐息或（B）施法施展冰刃。

撕裂 Rend. 近战攻击检定: +13，触及10尺。命中: 17（2d8 + 8）挥砍伤害外加4（1d8）寒冷伤害。

寒冷吐息 (充能 5–6) Cold Breath. 体质 豁免检定: DC 20，60尺锥状区域内的每名生物。失败: 54（12d8）寒冷伤害。成功: 半伤。

施法. 银龙施展以下一道法术，无需材料成分并使用魅力作为施法属性（法术豁免DC 19，法术攻击命中+11）：

随意: 侦测魔法, 定身怪物, 冰刃, 形体变化（仅野兽与类人形态，不会因此法术获得临时生命值，但无需为维持此法术而保有临时生命值或维持专注）

每项1/日: 冰风暴（五环版本）, 诚实之域

麻痹吐息 Paralyzing Breath. 体质 豁免检定: DC 20，60尺锥状区域内的每名生物。First 失败: 目标陷入失能状态直至其下个回合结束，此时目标重复豁免。Second 失败: 目标陷入麻痹状态，并在其回合结束时重复豁免，成功则终止其身上的该效应。1分钟后，其豁免自动成功。",,,"彻骨冻寒 Chill. 银龙使用施法施展定身怪物。银龙直至其下个回合开始都无法再执行此动作。

寒风掠 Cold Gale. 敏捷 豁免检定: DC 19，60尺长、10尺宽的线状区域内的每名生物。失败: 14（4d6）寒冷伤害，且银龙将目标直线推离至多30尺。成功: 仅半伤。失败或成功: 银龙直至其下个回合开始都无法再执行此动作。

猛扑 Pounce. 红龙移动至多等于其速度一半的距离，并发动一次撕裂攻击。",,,"包含成年或远古银龙巢穴的区域因其魔法而改变，产生以下效果：

微风之佑. 在巢穴1英里范围内的生物会被风托起。这些生物每轮下降60英尺，并且不会因坠落而受到伤害。

风与光之主. 当龙在其巢穴中时，它可以施展操控天气，无需任何材料成分，并使用与其施法动作相同的施法能力。

如果龙死亡或将巢穴移至其他地方，这些效果立即结束。","城市, 山地",奥秘
成年青铜龙,MM'25,59,巨型,龙 (金属),守序 善良,18,212 (17d12 + 102),"40 尺, 飞行 80 尺, 游泳 40 尺",25,10,23,16,15,20,"Dex +5, Wis +7","洞悉 +7, 察觉 +12, 隐匿 +5",,,闪电,,"盲视 60 尺, 黑暗视觉 120 尺, 被动察觉 22","通用语, 龙语","15 (XP 13,000, 或 15,000在巢穴中时; PB +5)","传奇抗性（3/日，或巢穴内4/日） Legendary Resistance. 龙豁免失败时，可以将其改为豁免成功。

水陆两栖 Amphibious. 该龙可以在空气和水中呼吸。","多重攻击 Multiattack. 该龙发动三次撕裂攻击。其可以将其中一次攻击替换为使用（A）斥力吐息或（B）施法施展光导箭（二环版本）。

撕裂 Rend. 近战攻击检定: +12，触及10尺。命中: 16（2d8 + 7）挥砍伤害外加5（1d10）闪电伤害。

施法. 青铜龙施展以下一道法术，无需任何材料成分并使用魅力作为施法属性（法术豁免DC 17，法术攻击命中+10）：

随意: 侦测魔法, 光导箭（二环版本）, 形体变化（仅野兽与类人形态，不会因此法术获得临时生命值，但无需为维持此法术而保有临时生命值或维持专注）, 动物交谈, 奇术

每项1/日: 侦测思想, 水下呼吸

闪电吐息(充能 5–6) Lightning Breath. 敏捷 豁免检定: DC 19，90尺长、5尺宽的线状区域内的每个生物。失败: 55（10d10）闪电伤害。成功: 半伤。

斥力吐息 Repulsion Breath. 力量 豁免检定: DC 19，30尺锥状区域内的每名生物。失败: 目标被青铜龙直线推离至多60尺并陷入倒地状态。",,,"明光道标 Guiding Light. 青铜龙使用施法施展光导箭（二环版本）。

猛扑 Pounce. 红龙移动至多等于其速度一半的距离，并发动一次撕裂攻击。

鸣雷破 Thunderclap. 体质 豁免检定: DC 17，以120尺内青铜龙可见一点为中心，半径20尺球状区域内的每个生物。失败: 10（3d6）雷鸣伤害，且目标陷入耳聋状态直至其下个回合结束。",,,"成年或远古青铜龙巢穴所在的区域因其存在而发生改变，产生以下效果：

浮浪璇流. 在巢穴1英里范围内缺乏游泳速度的生物在游泳时可以忽略额外的移动消耗。

风与光之主. 当龙在巢穴中时，它可以施放操控天气，无需材料成分，并使用与其施法动作相同的施法能力。以此方式施放法术时，龙可以控制其巢穴周围1英里内的天气，无论龙是在巢穴内还是巢穴外。

如果龙死亡或将巢穴移至其他地方，这些效果立即结束。",海岸,器具
成年黄铜龙,MM'25,55,巨型,龙 (金属),混乱 善良,18,172 (15d12 + 75),"40 尺, 掘穴 30 尺, 飞行 80 尺",23,10,21,14,13,17,"Dex +5, Wis +6","历史 +7, 察觉 +11, 游说 +8, 隐匿 +5",,,火焰,,"盲视 60 尺, 黑暗视觉 120 尺, 被动察觉 21","通用语, 龙语","13 (XP 10,000, 或 11,500在巢穴中时; PB +5)",传奇抗性（3/日，或巢穴内4/日） Legendary Resistance. 龙豁免失败时，可以将其改为豁免成功。,"多重攻击 Multiattack. 该龙发动三次撕裂攻击。其可以将其中一次攻击替换为使用（A）睡眠吐息或（B）施法施展灼热射线。

撕裂 Rend. 近战攻击检定: +11，触及10尺。命中: 17（2d10 + 6）挥砍伤害外加4（1d8）火焰伤害。

施法. 黄铜龙施展以下一道法术，无需任何材料成分并使用魅力作为施法属性（法术豁免DC 16）：

随意: 侦测魔法, 次级幻象, 灼热射线, 形体变化（仅野兽与类人形态，不会因此法术获得临时生命值，但无需为维持此法术而保有临时生命值或维持专注）, 动物交谈

每项1/日: 侦测思想, 操控天气

火焰吐息 (充能 5–6) Fire Breath. 敏捷 豁免检定: DC 18，60尺长、5尺宽的线状区域内的每名生物。失败: 45（10d8）火焰伤害。成功: 半伤。

睡眠吐息 Sleep Breath. 体质 豁免检定: DC 18，60尺锥状区域内的每名生物。失败: 目标陷入失能状态直至其下个回合结束，此时目标重复豁免。Second 失败: 目标陷入昏迷状态，持续10分钟。目标身上的此效应在其受到伤害或被目标5尺内的另一生物用一个动作摇醒时提前结束。",,,"光炎烧却 Blazing Light. 黄铜龙使用施法施展灼热射线。

猛扑 Pounce. 红龙移动至多等于其速度一半的距离，并发动一次撕裂攻击。

尘沙灼 Scorching Sands. 敏捷 豁免检定: DC 16，120尺内黄铜龙可见的单一生物。失败: 27（6d8）火焰伤害，且目标的速度减半直至其下个回合结束。失败或成功: 黄铜龙直至其下个回合开始都无法再执行此动作。",,,"成年或古老黄铜龙的巢穴所在区域因其存在而发生改变，产生以下效果：

蜃景幻象. 当龙在其巢穴中时，它可以施展高等幻影，且不需要材料成分，使用的施法能力与其施法动作相同。以此方式施法时，法术的射程为1英里，且龙不需要看到幻象出现的位置。

清爽水体. 巢穴1英里范围内的水具有神奇的提神效果。饮用这种水的生物将获得2d4点临时生命值，并且龙会立即察觉到该生物的存在。

如果龙死亡或将巢穴移至其他地方，这些效果立即结束。",荒漠,奥秘
成年黑龙,MM'25,39,巨型,龙 (多彩),混乱 邪恶,19,195 (17d12 + 85),"40 尺, 飞行 80 尺, 游泳 40 尺",23,14,21,14,13,19,"Dex +7, Wis +6","察觉 +11, 隐匿 +7",,,强酸,,"盲视 60 尺, 黑暗视觉 120 尺, 被动察觉 21","通用语, 龙语","14 (XP 11,500, 或 13,000在巢穴中时; PB +5)","传奇抗性（3/日，或巢穴内4/日） Legendary Resistance. 龙豁免失败时，可以将其改为豁免成功。

水陆两栖 Amphibious. 该龙可以在空气和水中呼吸。","多重攻击 Multiattack. 该龙发动三次撕裂攻击。其可以将其中一次攻击替换为使用施法施展马友夫强酸箭（三环版本）。

撕裂 Rend. 近战攻击检定: +11，触及10尺。命中: 13（2d6 + 6）挥砍伤害外加4（1d8）强酸伤害。

强酸吐息 (充能 5–6) Acid Breath. 敏捷 豁免检定: DC 18，60尺长、5尺宽的线状区域内的每名生物。失败: 54（12d8）强酸伤害。成功: 半伤。

施法. 该龙施展以下一道法术，无需材料成分并使用魅力作为施法属性（法术豁免DC 17，法术攻击命中+9）：

随意: 侦测魔法, 恐惧术, 马友夫强酸箭（三环版本）

每项1/日: 死者交谈, 浓酸球",,,"虫群云聚 Cloud of Insects. 敏捷 豁免检定: DC 17，单一120尺内黑龙可见的生物。失败: 22（4d10）毒素伤害，且目标为维持专注进行的体质豁免具有劣势，持续至其下个回合结束。失败或成功: 黑龙直至其下个回合开始都无法再执行此动作。

骇人威仪 Frightful Presence. 黑龙使用施法施展恐惧术。黑龙直至其下个回合开始都无法再执行此动作。

猛扑 Pounce. 该龙可以移动至多等于其速度一半的距离，并发动一次撕裂攻击。",,,"包含成年或远古黑龙巢穴的区域因其存在而扭曲，产生以下效果：

酸败瘴霾. 刺鼻且令人窒息的雾气覆盖了巢穴周围1英里的区域，使该区域轻度遮蔽。对于除龙及其盟友之外的生物，在该区域内的行进时间将是正常的两倍。

腐化水源. 巢穴周围1英里内的水源被超自然污染。饮用这种水的生物必须成功通过一次DC 15体质豁免检定，否则会受到中毒状态，持续1小时。

如果龙死亡或将巢穴移至其他地方，这些效果立即结束。",沼泽,圣物
战争祭司,MPMM,254,中型,类人 (牧师),任意阵营,18 (板甲),117 (18d8 + 36),30 尺,16,10,14,11,17,13,"Con +6, Wis +7","威吓 +5, 宗教 +4",,,,,被动察觉 13,任意两种语言,"9 (XP 5,000; PB +4)",,"多重攻击 Multiattack. 战争祭司进行两次巨锤攻击，并使用圣火。

巨锤 Maul. 近战武器攻击: 命中+7，触及5尺，单一目标。命中: 10（2d6 + 3）钝击伤害外加命中: 10（3d6）光耀伤害。

圣火 Holy Fire. 战争祭司指定60尺内它能看到的一个生物。该目标必须进行一个DC 15的感知豁免。若豁免失败，目标受到12（2d8 + 3）光耀伤害，并陷入目盲状态，直到战争祭司的下个回合开始。若豁免成功，目标受到一半伤害并且不会陷入目盲。

施法. 战争祭司施展下列的一个法术，使用感知作为施法属性（法术豁免DC 15）：

随意: 光亮术, 维生术, 奇术

每项1/日: 放逐术, 命令术, 解除魔法, 焰击术, 信仰守卫, 定身类人, 次等复原术, 回生术",治愈之光 (充能 4–6) Healing Light. 战争祭司或它60尺内一个它指定的生物恢复12（2d8 + 3）点生命值。,,,,,,"城市, 荒漠",
战锤矮人,IDRotF,107,中型,类人 (矮人),守序 善良,13 (皮甲),16 (3d8 + 3),25 尺,11,14,12,11,13,11,,"自然 +4, 察觉 +5, 隐匿 +6, 生存 +5",,毒素,,,"darkvision 60 ft., 被动察觉 15","任何一种语言（通常是通用语）, 矮人语",1/2 (XP 100; PB +2),"敏锐视听觉 Keen Hearing and Sight. 矮人依赖听觉或视觉所作的感知（察觉）检定具有优势。

矮人体魄 Dwarven Resilience. 战锤矮人在对抗毒素的豁免检定上具有优势，并且对毒素伤害具有抗性。","多重攻击 Multiattack. 矮人发动两次近战攻击，或两次远程攻击。

手斧 Handaxe. 近战 或 远程武器攻击: 命中+2，触及5尺或射程20/60尺，单一目标。命中: 3（1d6 + 0）挥砍伤害。

轻弩 Light Crossbow. 远程武器攻击: 命中+4，远程80/320尺，单一目标。命中: 6（1d8 + 2）穿刺伤害。",,,,,,,,
战马,MM'25,373,大型,野兽,无阵营,11,19 (3d10 + 3),60 尺,18,12,13,2,12,7,Wis +3,,,,,,被动察觉 11,—,1/2 (XP 100; PB +2),,蹄击 Hooves. 近战攻击检定: +6，触及 5 尺。命中: 9（2d4 + 4）钝击伤害。若目标生物体型不超过大型且战马在此次攻击前立即向着目标移动了 20+ 尺，则目标额外受到5（2d4）钝击伤害并陷入倒地状态。,,,,,,,城市,
扎拉坦,MPMM,278,超巨型,元素,中立,21 (天生护甲),307 (15d20 + 150),"40 尺, 游泳 40 尺",30,10,30,2,21,18,"Wis +12, Cha +11",,,"寒冷, 火焰, 闪电; 钝击, 穿刺, 和 挥砍 来自非魔法攻击",毒素,"中毒, 力竭, 石化, 震慑, 麻痹","黑暗视觉 60 尺, 颤动感知 60 尺, 被动察觉 15",—,"22 (XP 41,000; PB +7)","传奇抗性 (3/日) Legendary Resistance. 如果扎拉坦在一次豁免中失败，祂可以将其改为豁免成功。

攻城怪物 Siege Monster. 该元素对物件和建筑物造成双倍伤害（包含在撼地神行中）。","多重攻击 Multiattack. 扎拉坦发动一次啃咬攻击和一次重踏攻击。

啃咬 Bite. 近战武器攻击: 命中+17，触及20尺，单一目标。命中: 28（4d8 + 10）力场伤害。

践踏 Stomp. 近战武器攻击: 命中+17，触及20尺，单一目标。命中: 26（3d10 + 10）点雷鸣伤害。

喷吐岩石 Spit Rock. 远程武器攻击: 命中+17，范围120尺/240尺，单一目标。命中: 31（6d8 + 10）力场伤害。

喷射碎石 (充能 5–6) Spew Debris. 扎拉坦向面前90尺立方区域吐出无数岩石碎屑。区域中，每个生物都必须进行一个DC 25的敏捷豁免。豁免失败将受到33（6d10）点钝击伤害，豁免成功则只受半数伤害。若豁免结果比DC低出了5点或更多，该生物还将陷入倒地。",地震移动 Earth-Shaking Movement. 扎拉坦在地面上移动至少10尺后，向以自身为中心、半径120尺的圆形区域发出冲击波。该区域在1分钟内变为困难地形。地面上每个正在专注于的生物必须成功通过DC 25的体质豁免，否则该生物的专注被打断。冲击波对区域内与地面接触的所有建筑物造成100点雷鸣伤害。如果生物靠近倒塌的建筑物，可能会被掩埋；距离建筑物高度一半范围内的生物必须进行DC 25的敏捷豁免。豁免失败时，该生物受到17（5d6）点钝击伤害，被击倒地，并被困在瓦砾中。被困的生物处于束缚状态，需要一个成功的DC 20力量（运动）检定作为动作来逃脱。另一个在掩埋生物5尺内的生物可以使用其动作清理瓦砾，并为该检定提供优势。如果有三个生物以这种方式使用动作，该检定自动成功。豁免成功时，该生物只受一半伤害，且不会倒地或被掩埋。,,"践踏 Stomp. 扎拉坦发动一次践踏攻击。

移动 Move. 扎拉坦移动至多等同于其速度的距离。

喷吐（消耗2个动作） Spit. 扎拉坦发动一次飞岩攻击。

缩壳（消耗2个动作） Retract. 扎拉坦缩入壳中。直至其使用出壳动作为止，它具有所有伤害的抗性，并且陷入束缚。下次它执行传奇动作时，必须使用其复苏或出壳动作。

复苏（消耗2个动作） Revitalize. 扎拉坦只有在缩壳期间才能使用此选项。它回复52（5d20）点生命值。下次执行传奇动作时，它必须执行出壳动作。

出壳（消耗2个动作） Emerge. 扎拉坦从壳中出现并进行一次飞岩攻击。只有他在缩壳期间才能使用此选项。",,,,"丘陵, 山地, 幽暗地域, 森林, 草地, 荒漠",
扎瑞尔,MPMM,280,大型,邪魔 (魔鬼),守序 邪恶,21 (天生护甲),420 (29d10 + 261),"50 尺, 飞行 150 尺",27,24,28,26,27,30,"Int +16, Wis +16, Cha +18","威吓 +18, 察觉 +16",,"寒冷, 火焰, 光耀; 钝击, 穿刺, 和 挥砍 非银质武器且非魔法攻击的","暗蚀, 毒素","中毒, 力竭, 恐慌, 魅惑","黑暗视觉 120 尺, 被动察觉 26","所有, 心灵感应 120 尺","26 (XP 90,000; PB +8)","传奇抗性 (3/日) Legendary Resistance. 如果扎瑞尔在一次豁免中失败，祂可以将其改为豁免成功。

再生 Regeneration. 扎瑞尔在自己的回合开始时回复20点生命值。如果她受到光耀伤害，这一特质在其下一回合开始时无法生效。扎瑞尔只有在以0点生命值开始其回合并且无法再生时才会死亡。

魔法抗性 Magic Resistance. 扎瑞尔对抗法术和其他魔法效应时进行的豁免检定具有优势。

魔鬼视界 Devil's Sight. 魔法黑暗不会阻碍扎瑞尔的黑暗视觉。","多重攻击 Multiattack. 扎瑞尔发动三次链枷或长剑攻击。如果可以，祂可以用邪秽之触代替其中一次攻击。

链枷 Flail. 近战武器攻击: 命中+16，触及 10 尺，单一目标。命中: 17（2d8 + 8）力场伤害外加 36（8d8）火焰伤害。

施法. 扎瑞尔施展以下法术中的一个，且不需要材料成分，以魅力为施法关键属性（法术豁免DC 26）：

随意: 变身术（改变外貌时可变为中型）, 侦测善恶, 火球术, 隐形术（仅自身）, 高等幻影, 火墙术

每项3/日: 剑刃护壁, 驱逐善恶, 死亡一指

长剑 Longsword. 近战武器攻击: 命中+16，触及10尺，单一目标。命中: 17（2d8 + 8）光耀伤害，或双手持握时19（2d10 + 8）光耀伤害，外加36（8d8）火焰伤害。

邪秽之触 (充能 5–6) Horrid Touch. 扎瑞尔触及10尺内的一个生物。目标必须成功通过DC 26的体质豁免否则受到44（8d10）暗蚀伤害并中毒一分钟。以此方式中毒的目标陷入目盲和耳聋状态。目标可以在每个自己回合结束时重复豁免，豁免成功则结束该效应对自身的影响。

传送术 Teleport. 扎瑞尔可以将自己传送至多120尺，到达任何祂可以看到且未被占据的空间，其随身携带或着装的装备也将被一起传送。",,,"传送术 Teleport. 扎瑞尔使用传送术。

焚祭凝视（消耗2个动作） Immolating Gaze. 扎瑞尔将祂魔法的视线转向120尺内一个可见生物并命令它燃烧。目标必须通过DC 26的感知豁免否则受到22（4d10）火焰伤害。",,"在先攻计数20（如果先攻平手则失去先攻）时，扎瑞尔可以采取以下巢穴行动之一；她不能连续两轮采取相同的巢穴行动：

火球术. 扎瑞尔施放了火球术法术。

地狱幻术. 扎瑞尔施放了四次高等幻影法术，分别针对不同的区域。扎瑞尔更倾向于创造入侵者亲人被活活烧死的幻象。扎瑞尔不需要集中精神维持这些法术，它们将在下一轮的主动顺序计数20时结束。每个能看到这些幻象的生物必须成功进行一次DC 26感知豁免检定，否则将对幻象产生恐慌状态，持续1分钟。处于恐惧状态的生物可以在每个回合结束时重复进行豁免检定，成功则结束自身的恐惧效果。","包含扎瑞尔巢穴的区域被她的魔法扭曲，这会创造出以下一个或多个效果：

地狱景观. 巢穴周围9英里内的区域充满了尖叫的声音和燃烧肉的恶臭。

柴堆. 在巢穴周围1英里内，每60尺就会有一次10尺高的火焰从地面喷发。任何触碰到火焰的生物或物体都会受到7（2d6）点火焰伤害，但每轮最多只能受到一次这样的伤害。

浓烟. 巢穴周围2英里内，但至少500尺外的区域充满了烟雾，这使得该区域被严重遮蔽。烟雾无法被清除。

如果Zariel死去，这些效果将在1d10天内逐渐消失。",,
打手,MM'25,307,小型 或 中型,类人,中立,12,32 (5d8 + 10),30 尺,15,12,14,10,10,11,,,,,,,被动察觉 10,通用语,1/2 (XP 100; PB +2),集群战术 Pack Tactics. 若打手的攻击目标生物 5 尺内存在有至少一名打手未失能的盟友，则打手对该生物进行的攻击检定具有优势。,"硬头锤 Mace. 近战攻击检定: +4，触及 5 尺。命中: ： 5（1d6 + 2）钝击伤害。

重弩 Heavy Crossbow. 远程攻击检定: +3，射程100/400尺。命中: 6（1d10 + 1）穿刺伤害。",,,,,,,任何,武备
打手老大,MM'25,307,小型 或 中型,类人,中立,16,82 (11d8 + 33),30 尺,17,14,16,11,10,11,"Str +5, Con +5, Cha +2",,,,,,被动察觉 10,通用语，外加另外一门语言,"4 (XP 1,100; PB +2)",集群战术 Pack Tactics. 若打手的攻击目标生物 5 尺内存在有至少一名打手未失能的盟友，则打手对该生物进行的攻击检定具有优势。,"多重攻击 Multiattack. 打手老大使用战锤或重弩发动共计两次攻击。

战锤 Warhammer. 近战攻击检定: +5，触及 5 尺。命中: 12（2d8 + 3）钝击伤害。若目标生物体型不超过大型，则打手老大将其直线推离至多 10 尺。

重弩 Heavy Crossbow. 远程攻击检定: +4，射程100/400尺。命中: 13（2d10 + 2）穿刺伤害。",,,,,,,任何,武备
报丧妖,MM'25,29,中型,亡灵,混乱 邪恶,12,54 (12d8),"5 尺, 飞行 40 尺 (悬浮)",1,14,10,12,11,17,Wis +2,,,"强酸, 钝击, 火焰, 闪电, 穿刺, 挥砍, 雷鸣","寒冷, 暗蚀, 毒素","中毒, 倒地, 力竭, 受擒, 恐慌, 束缚, 石化, 魅惑, 麻痹","黑暗视觉 60 尺, 被动察觉 10","通用语, 精灵语","4 (XP 1,100; PB +2)","侦测生命 Detect Life. 报丧妖可以魔法性地感知到其 1 里之内非亡灵非构装生物的位置。

虚体移动 Incorporeal Movement. 报丧妖可以移动穿过其他生物或物件，如同穿过困难地形一般。在其回合结束时，若报丧妖还处于物件内，其受到 5（1d10）力场伤害","多重攻击 Multiattack. 报丧妖发动两次腐化触击攻击并使用恐惧。

腐化之触 Corrupting Touch. 近战攻击检定: ： +5，触及 5 尺。命中: ： 7（1d8 + 3）暗蚀伤害。

恐惧 Horrify. 感知 豁免检定: ： DC 13， 60 尺内报丧妖可见且能看见其的生物。失败: ：目标陷入恐慌状态，直至报丧妖的下个回合开始。成功: ： 目标在 24 小时内免疫此报丧妖的恐惧。

死亡哀嚎（1/日） Deathly Wail. 若报丧妖未身处阳光下，其发出一阵悲恸的哀嚎。体质 豁免检定: DC 13，30尺内能听到哀嚎的非亡灵且非构装的每名生物。失败: 若目标的生命值为25或更低，其生命值降至0；否则，目标受到10（3d6）心灵伤害。",,,,,,,任何,圣物
披甲穴蜥人,WDMM,150,中型,类人 (穴蜥人),混乱 邪恶,14 (胸甲),13 (2d8 + 4),30 尺,14,10,14,6,10,6,,隐匿 +2,,,,,"黑暗视觉 60 尺, 被动察觉 10",懂地底通用语但不能说,1/4 (XP 50; PB +2),"变色皮肤 Chameleon Skin. 穴蜥人进行躲藏而作的敏捷（隐匿）检定具有优势。

恶臭 Stench. 在穴蜥人身边5尺范围内开始其自己回合的生物，除穴蜥人外必须成功通过一次DC 12的体质豁免否则将陷入中毒，中毒状态持续至该生物的下一回合开始。豁免成功的生物将在随后1小时内免疫所有穴蜥人的恶臭

日照敏感 Sunlight Sensitivity. 处于阳光下的穴蜥人在进行攻击检定，以及进行依赖视觉的感知（察觉）检定时具有劣势。","多重攻击 Multiattack. 穴蜥人要么用它的长剑进行两次攻击，要么进行三次攻击：一次用它的啃咬，两次用它的爪击。

啃咬 Bite. 近战武器攻击: 命中+4，触及5尺，单一目标。命中: 4（1d4 + 2）点穿刺伤害。

长剑 Longsword. 近战武器攻击: 命中+4，触及5尺，单一目标。命中: 6 (1d8 + 2) 点挥砍伤害，或者如果用双手使用则为7 (1d10 + 2) 点挥砍伤害。",,,,,,,,
拉迷亚,MM'25,192,大型,邪魔,混乱 邪恶,13,97 (13d10 + 26),40 尺,16,13,15,14,15,16,,"欺瞒 +7, 洞悉 +4, 隐匿 +5",,,,,"黑暗视觉 60 尺, 被动察觉 12","深渊语, 通用语","4 (XP 1,100; PB +2)",,"多重攻击 Multiattack. 拉迷亚发动两次爪击攻击。其可以将其中一次攻击替换为使用腐败之触。

施法. 拉迷亚施展以下一道法术，无需材料成分并使用魅力作为施法属性（法术豁免DC 13）：

随意: 易容术（可易容为大型或中型两足动物），, 次级幻象

每项1/日: 指使术, 高等幻影, 探知术

爪击 Claw. 近战攻击检定: +5，触及 5 尺。命中: 7（1d8 + 3）挥砍伤害，外加7（2d6）心灵伤害。

腐化之触 Corrupting Touch. 感知 豁免检定: DC 13，单一 5 尺内拉迷亚可见的生物。失败: 13（3d8）心灵伤害，且目标被诅咒，持续 1 小时。直至诅咒结束，目标陷入魅惑和中毒状态，直至诅咒结束。",跳跃 Leap. 拉迷亚消耗 10 尺移动力跳跃至多 30 尺。,,,,,,荒漠,奥秘
拟身怪,MM'25,212,中型,怪兽,中立,12,58 (9d8 + 18),20 尺,17,12,15,5,13,8,,隐匿 +5,,,强酸,倒地,"黑暗视觉 60 尺, 被动察觉 11",—,2 (XP 450; PB +2),黏着 (仅物件形态） Adhesive. 拟身怪粘附在任何触碰到其的东西上。体型不超过巨型的被粘附生物陷入受擒状态（逃脱DC 13）。为逃脱此擒抱进行的属性检定具有劣势。,"啃咬 Bite. 近战攻击检定: +5（若目标因该拟身怪受擒则具有优势），触及 5 尺。命中: 7（1d8 + 3）穿刺伤害（若目标因该拟身怪受擒则改为 12（2d8 + 3）穿刺伤害）外加 4（1d8）强酸伤害。

伪足 Pseudopod. 近战攻击检定: +5，触及 5 尺。命中: 7（1d8 + 3）钝击伤害外加 4（1d8）强酸伤害。若目标生物体型不超过大型，其陷入受擒状态（逃脱DC 13）。为逃脱此擒抱进行的属性检定具有劣势。",变形 Shape-Shift. 拟身怪变形为如同中型或小型物件，并保留其游戏数据；或拟身怪变回其真实斑点形态。拟身怪着装或携带的任何装备都不会随之变化。,,,,,,"城市, 幽暗地域",任何
