名称,来源,页码,环阶,施法时间,持续时间,学派,范围,成分,职业,可选/变体 职业,子职,文本,升环施法
流星爆,PHB'24,298,9环,动作,立即,塑能,1 里,"声音, 姿势","术士 (PHB'24), 法师 (PHB'24)",,"塑能师 (PHB'24) 法师, 奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师","炽热的焰球坠向地面上你指定的你所能看见的施法距离内四个不同地点。以每个指定点为中心，40 尺半径球状区域内的每个生物必须通过一次敏捷豁免。豁免失败者将受到20d6的火焰伤害和20d6的钝击伤害，豁免成功则受到一半伤害。即使生物同时处于多个球状火焰内的生物也只会受一次效应影响。

法术区域内的未被着装或携带的非魔法物件也会承受该伤害，若其可燃则也会开始燃烧。",
浓酸球,PHB'24,337,4环,动作,立即,塑能,150 尺,"声音, 姿势, 材料 (一滴胆汁)","术士 (PHB'24), 法师 (PHB'24)",,"塑能师 (PHB'24) 法师, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 炼金师 (EFA) 奇械师, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者",你指向施法距离内一点，一颗发光的直径 1 尺的酸液球飞向那个位置，随后爆炸，波及 20 尺半径的球状区域。在该区域中的每名生物进行一次敏捷豁免。豁免失败的生物不仅将受到10d4点强酸伤害，其下个回合结束时还将再受到5d4点强酸伤害。若豁免成功，该生物只受到初始伤害的一半伤害。,升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比四环高一环，此法术的初始伤害便增加2d4。
浮空术,PHB'24,291,2环,动作,"专注, 至多10 分钟",变化,60 尺,"声音, 姿势, 材料 (一个金属弹簧)","奇械师 (EFA), 术士 (PHB'24), 法师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","指定施法距离内你能看见的一个生物或未固定的物件，使其垂直上升至多 20 尺，并在该处维持悬浮直至持续时间结束。该法术可悬浮一个重量至多 500 磅的目标。一个非自愿的生物可以对法术进行一次体质豁免，若成功将避免受其影响。

目标只能通过推或拉一个固定的物件或平面（例如一面墙或者天花板）来进行移动，这种移动方式视为等同于攀爬。你可以在自己回合里将目标的悬浮高度向上或向下改变至多 20 尺：如果你自身就是该法术的目标，则你可以进行上升和下降并将其作为你移动的一部分；如果你不是该法术的目标，则你可以使用魔法动作来移动目标，但目标必须始终处于你的施法距离内。

法术终止时，仍处于空中的目标会缓缓飘落到地面。",
海啸术,PHB'24,336,8环,1 分钟,"专注, 至多6 轮",咒法,1 里,"声音, 姿势",德鲁伊 (PHB'24),,,"你指定施法距离内一点并从中升起一面水墙。水墙长不过 300 尺，高不过 300 尺，厚不过 50 尺，且持续存在至法术终止。

水墙出现时，所有位于范围内的生物进行一次力量豁免。豁免失败者受到6d10点钝击伤害，豁免成功则受到半数伤害。

水墙出现后你的每回合开始时，水墙将带着其内的所有生物一起向远离你的方向移动 50 尺。当水墙进入一个体型不超过巨型的生物所占据的空间，或他们原本就处于墙内时，该生物必须进行一次力量豁免，豁免失败则受到5d10点钝击伤害。一名生物一轮只能受到一次此伤害。在你的回合结束时，水墙的高度减少 50 尺，且其随后每轮对生物造成的伤害也减少1d10。当水墙高度变为 0 尺时，法术终止。

淹没在水墙中的生物可以用游泳的方式移动，由于波涛阻力影响，该生物必须成功于一次对抗你法术豁免DC的力量（运动）检定以决定其能否成功移动。检定失败者无法移动。移动离开水墙区域的生物会直接掉到地上。",
海市蜃楼,PHB'24,299,7环,10 分钟,10 day,幻术,视野,"声音, 姿势","吟游诗人 (PHB'24), 德鲁伊 (PHB'24), 法师 (PHB'24)",,"奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师, 幻术师 (PHB'24) 法师","你使至多 1 里方形区域内的地形在视觉、听觉、嗅觉、甚至触觉上都像是某种其他的地形。你可以让开阔的平原或者一条路可能变得像一片湿地，一座小山，一个裂谷或是其他困难或无法通行的地形。你还可以让一个池塘变得像一片茂盛的草地，一个悬崖变得像一个缓坡，或者让一个乱石沟变得像一条宽阔平坦的大路。

另外，你还可以改变建筑物的外观，或者在本来没有建筑物的地方添上建筑物。该法术不可以伪装、隐藏或增添生物。

该幻术是听觉、视觉、触觉和嗅觉的综合体，因而其可以把空旷的地面变成困难地形（反之亦然），乃至阻碍区域内的通行。幻象地形的任何一小部分（例如一块石头或者一根树枝）被移动到法术区域外时都会立刻消失不见。

拥有真实视觉的生物可以看穿幻术，洞悉地形的真实形态；然而幻象的所有其他元素仍会得以保留，所以一个意识到这是幻象的生物仍然可以与该幻象进行物理互动。",
涅斯图魔法灵光,PHB'24,302,2环,动作,24 小时,幻术,触及,"声音, 姿势, 材料 (一小片方形丝绸)",法师 (PHB'24),,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 幻术师 (PHB'24) 法师, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","你触碰一名自愿生物或者一个未被着装或携带的物件以在其上设置一道幻术。生物获得下述伪装效应，物件则获得下述虚假灵光效应。效应持续至法术结束。如果你持续 30 日每日均对同一个目标施展此法术，则幻术会的持续时间变为直至被解除。

伪装（生物） Mask. 选择一种目标实际生物类型以外的生物类别。法术和其他魔法效应会将目标生物视为属于该生物类型来处理效果。

虚假灵光（物件） False Aura. 你改变目标在能够侦测魔法灵光的法术和魔法效应（例如侦测魔法）中呈现的样子。你可以使一个非魔法物件如同具有魔法性、让一个魔法物件如同只是非魔法的，或者改变物件的魔法灵光学派，使其呈现出由你选择的特定魔法学派的灵光。",
湮灭波,PHB'24,261,5环,动作,立即,塑能,自身,声音,圣武士 (PHB'24),,,毁灭能量从你身上扩散而出，覆盖 30 尺光环区域。光环范围内你选择的每个生物进行一次体质豁免。豁免失败者受到5d6点雷鸣伤害和5d6点光耀或暗蚀伤害（由你选择）并且陷入倒地状态。豁免成功则受到半数伤害。,
激愤斩,PHB'24,343,1环,附赠动作,1 分钟,死灵,自身,声音,圣武士 (PHB'24),,逸闻 (PHB'14) 吟游诗人,被该次攻击检定命中的目标会在此次攻击中额外受到1d6点暗蚀伤害，并且目标必须通过一次感知豁免检定，否则直到法术结束为止陷入恐慌状态。在自己的每回合结束时，被恐慌的目标可以重复此豁免，成功则结束该法术对自身的影响。,升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比一环高一环，此法术的伤害就提高1d6点。
火墙术,PHB'24,338,4环,动作,"专注, 至多1 分钟",塑能,120 尺,"声音, 姿势, 材料 (一块木炭)","德鲁伊 (PHB'24), 术士 (PHB'24), 法师 (PHB'24)",,"光明 (PHB'24) 牧师, 咒火 (FRHoF) 术士, 塑能师 (PHB'24) 法师, 天界 (PHB'24) 魔契师, 奥法骑士 (PHB'24) 战士, 奥法骑士 (PHB'14) 战士, 诡术师 (PHB'24) 游荡者, 诡术师 (PHB'14) 游荡者, 邪魔 (PHB'24) 魔契师, 魔炮师 (EFA) 奇械师","你在施法距离内一块实体地面上创造出一面火墙。你可以选择创造长不过 60 尺、高不过 20 尺、厚不过 1 尺的直线型火墙；或是直径不过 20 尺、高不过 20 尺、厚不过 1 尺的环形火墙。火墙不透明，且将持续存在至法术终止。

火墙出现时，所有位于火墙所占据的区域内的生物必须进行一次敏捷豁免。豁免失败，受到5d8火焰伤害。豁免成功则受到半数伤害。

施展该法术时，你选择火墙的哪一侧会造成伤害。生物在火墙造成伤害一侧 10 尺内或火墙所占据的区域内结束其回合时将受到5d8火焰伤害。在一个回合内首次进入火墙或在火墙所占据的区域内结束自己的回合时也会受到同样的伤害。火墙的另一侧不会造成伤害。",升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比四环高一环，此法术的伤害就增加1d8。
火焰刀,PHB'24,275,2环,附赠动作,"专注, 至多10 分钟",塑能,自身,"声音, 姿势, 材料 (一片漆树叶)","德鲁伊 (PHB'24), 术士 (PHB'24)",,"逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","你在一只空手上召出一把火焰刀。该刀刃的尺寸和形状近似于一把弯刀并在法术持续时间内持续存在。当你放下刀刃时其将消失不见，但你可以用一个附赠动作重新将其唤出。

你可以用一个魔法动作使用该火焰刀发动一次近战法术攻击。若命中，则目标受到3d6点火焰伤害加上你的施法属性调整值。

火焰刀提供半径 10 尺的明亮光照以及额外 10 尺的微光光照。",升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比二环高一环，此法术的伤害就提高1d6。
火焰护盾,PHB'24,274,4环,动作,10 分钟,塑能,自身,"声音, 姿势, 材料 (少许磷或一只萤火虫)","德鲁伊 (PHB'24), 术士 (PHB'24), 法师 (PHB'24)",,"咒火 (FRHoF) 术士, 塑能师 (PHB'24) 法师, 奥法骑士 (PHB'24) 战士, 奥法骑士 (PHB'14) 战士, 战争 (PHB'24) 牧师, 战地匠师 (EFA) 奇械师, 装甲师 (EFA) 奇械师, 诡术师 (PHB'24) 游荡者, 诡术师 (PHB'14) 游荡者, 邪魔 (PHB'24) 魔契师","轻薄缥缈的火焰在法术持续期间环绕着你的身体，散发出 10 尺半径的明亮光照和额外 10 尺的微光光照。

这层火焰可以为你提供一面温暖护盾或冻寒护盾，由你选择。温暖护盾将赋予你对寒冷伤害的抗性，而冻寒护盾则会赋予你对火焰伤害的抗性。

此外，每当一名距你 5 尺内的生物以一次近战攻击命中你时，这个护盾将迸发出火焰。温暖护盾将对攻击者造成2d8点火焰伤害，冻寒护盾将对攻击者造成2d8点寒冷伤害。",
火焰箭,PHB'24,274,戏法,动作,立即,塑能,120 尺,"声音, 姿势","奇械师 (EFA), 术士 (PHB'24), 法师 (PHB'24)",,"塑能师 (PHB'24) 法师, 大地 (荒漠) (PHB'24) 德鲁伊, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人",你对施法距离内一名生物或物件掷出一把火焰，对目标进行一次远程法术攻击。命中时，目标将受到1d10点火焰伤害。未被着装或携带的可燃物件被该法术命中时将开始燃烧。,戏法强化 Cantrip Upgrade. 法术的伤害会在你到达下列等级时增加1d10：5级（2d10）、11级（3d10）以及17级（4d10）。
火焰风暴,PHB'24,275,7环,动作,立即,塑能,150 尺,"声音, 姿势","德鲁伊 (PHB'24), 术士 (PHB'24), 牧师 (PHB'24)",,"神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士","一片烈焰风暴出现在施法距离内。风暴的区域由至多十个 10 尺立方区域组成。你可以自行安排各立方区域的组合方式。每个立方区域必须至少与一个其他的立方区域相连。区域内每个生物必须进行一次敏捷豁免。豁免失败者将受到7d10点火焰伤害，豁免成功则伤害减半。

区域内所有未被着装或携带的可燃物件会开始燃烧。",
火球术,PHB'24,274,3环,动作,立即,塑能,150 尺,"声音, 姿势, 材料 (一颗蝙蝠粪和硫磺搓成的小球)","术士 (PHB'24), 法师 (PHB'24)",,"光明 (PHB'24) 牧师, 塑能师 (PHB'24) 法师, 大地 (荒漠) (PHB'24) 德鲁伊, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人, 邪魔 (PHB'24) 魔契师, 魔炮师 (EFA) 奇械师","明亮的闪光从你的指间飞驰向施法距离内你指定的一点，并随着一声低吼迸成一片烈焰。目标点周围半径 20 尺球状区域内的每个生物必须进行一次敏捷豁免。豁免失败者将受到8d6点火焰伤害，豁免成功则伤害减半。

区域内所有未被着装或携带的可燃物件会开始燃烧。",升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比三环高一环，此伤害就增加1d6。
灵体卫士,PHB'24,319,3环,动作,"专注, 至多10 分钟",咒法,自身,"声音, 姿势, 材料 (一卷祷文)",牧师 (PHB'24),,"战争 (PHB'24) 牧师, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","在法术持续时间内，保护性的灵体环绕在你的周围 15 尺光环范围内飞舞。如果你属于善良或中立阵营，则它们飘渺的身形看起来像是天使或妖精（由你选择）。如果你属于邪恶阵营，则它们将形如邪魔。

施展此法术时，你可以指定特定生物让其不受该法术影响。除此之外的生物在光环区域内将受法术影响致速度被减半。当光环进入一个生物的空间、一个生物进入光环或在速度内结束回合时，其必须进行一次感知豁免。豁免失败将受到3d8点光耀伤害（如果你属于善良或中立）或3d8点暗蚀伤害（如果你属于邪恶），豁免成功则受到半数伤害。一名生物一回合仅需进行一次该豁免。",升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比三环高一环，此法术的伤害就增加 1d8。
灵体武器,PHB'24,319,2环,附赠动作,"专注, 至多1 分钟",塑能,60 尺,"声音, 姿势",牧师 (PHB'24),,"战争 (PHB'24) 牧师, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","你创造出一块形似你选择的武器的浮空灵体力场，并使其持续到法术持续时间结束。它出现在施法距离内你选择的一点，并且你可以立即对该武器周围 5 尺内的一个生物发动一次近战法术攻击。若命中，则目标受到 1d8+ 你的施法属性调整值点力场伤害。

在你之后的回合内，你可以用附赠动作让该武器移动至多 20 尺，并再对它周围 5 尺内的一个生物发动一次同样的攻击。",升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比二环高一环，此法术的伤害就增加1d8。
灼热射线,PHB'24,313,2环,动作,立即,塑能,120 尺,"声音, 姿势","术士 (PHB'24), 法师 (PHB'24)",,"光明 (PHB'24) 牧师, 咒火 (FRHoF) 术士, 塑能师 (PHB'24) 法师, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人, 邪魔 (PHB'24) 魔契师, 魔炮师 (EFA) 奇械师",你射出三道火焰的射线。你可以将其射向施法距离内的一个或多个目标。每道射线需要你分别进行一次远程法术攻击。若命中，则目标受到2d6点火焰伤害。,升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比二环高一环，你就能多创造出一道射线。
灼热金属,PHB'24,284,2环,动作,"专注, 至多1 分钟",变化,60 尺,"声音, 姿势, 材料 (一块铁和一团火焰)","吟游诗人 (PHB'24), 奇械师 (EFA), 德鲁伊 (PHB'24)",,"逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","指定施法距离内一件你能看见的人造金属物件（例如一把金属武器，或者一套金属质的重甲或中甲），并使该物件变得炽热。施展该法术时，任何与该物件有物理接触的生物均受到2d8点火焰伤害。直到法术终止前，只要这个物件依然在施法距离内，你都可以在你随后的每个回合以一个附赠动作来再次造成此伤害。

若握持或着装该物件的生物因此受到伤害，则该生物必须通过一次体质豁免，否则如果这个生物只要能丢下该物件，该生物就必须丢下该物件。如果该物件没有被丢下，则直至你的下一回合开始为止，该生物进行攻击检定和属性检定时具有劣势。",升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比二环高一环，此法术的伤害就增加1d8。
灾祸术,PHB'24,245,1环,动作,"专注, 至多1 分钟",惑控,30 尺,"声音, 姿势, 材料 (一滴血)","吟游诗人 (PHB'24), 牧师 (PHB'24), 魔契师 (PHB'24)",,"复仇 (PHB'24) 圣武士, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人",你选择施法距离内至多三个你可见的生物，迫使其分别进行一次魅力豁免。在法术终止前，豁免失败于此次魅力豁免的目标进行的每次攻击检定与豁免检定都必须承受1d4的减值。,升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比一环高一环，你就可以额外选择一个生物作为目标。
点点星芒,PHB'24,320,戏法,动作,立即,塑能,60 尺,"声音, 姿势","吟游诗人 (PHB'24), 德鲁伊 (PHB'24)",,"大地 (PHB'14) 德鲁伊, 月亮 (PHB'24) 德鲁伊, 月亮 (FRHoF) 吟游诗人, 自然 (PHB'14) 牧师, 自然 (PHB'14) 牧师, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人, 力量(PSA) (PSA) 牧师, 力量(PSA) (PSA) 牧师",你对施法距离内一名生物或一个物件射出一点光芒。对目标进行一次远程法术攻击。命中时，目标将受到1d8点光耀伤害，并且直到你的下个回合结束前，它会散发出 10 尺微光光照，且无法受益于隐形状态。,戏法强化 Cantrip Upgrade. 到达特定等级后，此戏法的伤害将增加1d8：5 级（2d8）、11 级（3d8）、17 级（4d8）。
炼狱叱喝,PHB'24,284,1环,反应,立即,塑能,60 尺,"声音, 姿势",魔契师 (PHB'24),,逸闻 (PHB'14) 吟游诗人,伤害你的生物立刻被绿色的烈焰席卷。该生物必须进行一次敏捷豁免，豁免失败则受到2d10点火焰伤害，豁免成功则受到一半伤害。,升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比一环高一环，此法术的伤害就增加1d10点。
炽焰斩,PHB'24,314,1环,附赠动作,1 分钟,塑能,自身,声音,圣武士 (PHB'24),,逸闻 (PHB'14) 吟游诗人,被该次攻击检定命中的目标会在此次攻击中额外受到1d6火焰伤害。直至法术终止前，目标会在其每个回合开始时受到1d6点火焰伤害，并进行一次体质豁免。豁免失败则法术继续生效，成功则法术终止。,升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比一环高一环，此法术造成的所有伤害都会增加1d6点。
炽焰法球,PHB'24,275,2环,动作,"专注, 至多1 分钟",咒法,60 尺,"声音, 姿势, 材料 (一个蜡球)","德鲁伊 (PHB'24), 术士 (PHB'24), 法师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 炼金师 (EFA) 奇械师, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","一颗直径 5 尺的火焰球显现在施法距离内地面上的一处未被占据的空间，并在法术持续时间内持续存在。任何生物在火球周围 5 尺内结束其回合时必须进行一次敏捷豁免。豁免失败者将受到2d6点火焰伤害，豁免成功则伤害减半。

你可以用一个附赠动作将火球沿着地面移动30尺。如果你将火球移入某名生物所占据的空间，则该生物必须进行对抗火球伤害的豁免，而火球在该回合内停止移动。

移动火球时，你可以指引它越过不高于 5 尺的障碍，或者越过不宽过 10 尺的陷坑。被火球触碰的任何未被着装或携带的可燃物件都会开始燃烧，火球向其周围散发出明亮光照半径 20 尺的明亮光照以及微光光照额外 20 尺的微光光照。",升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比二环高一环，其伤害就增加1d6。
焚云术,PHB'24,288,8环,动作,"专注, 至多1 分钟",咒法,150 尺,"声音, 姿势","德鲁伊 (PHB'24), 术士 (PHB'24), 法师 (PHB'24)",,"奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师","一片充满了炽热灰烬的旋转烟云显现，并以施法距离内一点为中心的蔓延至半径 20 尺的球状区域。烟云区域被重度遮蔽。烟云会存在直至持续时间结束，或是直至被一阵强风（例如被造风术所创造）所吹散。

烟云出现时，每个处在其内的生物都必须通过一次敏捷豁免，豁免失败者将受到10d8点火焰伤害，豁免成功则受到半数伤害。该球状区域移动至生物所占据的空间，或者生物进入球状区域内，或者生物在球状区域内结束其回合时，该生物也必须进行该豁免。一名生物每回合仅需进行一次该豁免。

在你的每回合开始时，烟云会向你指定的、远离你的方向直线移动 10 尺。",
焰击术,PHB'24,275,5环,动作,立即,塑能,60 尺,"声音, 姿势, 材料 (一撮硫磺)",牧师 (PHB'24),,"光明 (PHB'24) 牧师, 咒火 (FRHoF) 术士, 奉献 (PHB'24) 圣武士, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士",一支辉煌火焰的立柱从上方呼啸着降落。位于以施法范围内一点为中心，半径 10 尺、高 40 尺柱状区域内的每个生物必须进行一次敏捷豁免，豁免失败者将受到5d6点火焰伤害和5d6点光耀伤害，豁免成功则受到半数伤害。,升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比五环高一环，其火焰伤害和光耀伤害就均增加1d6。
燃火术,PHB'24,308,戏法,附赠动作,10 分钟,咒法,自身,"声音, 姿势",德鲁伊 (PHB'24),,"大地 (PHB'14) 德鲁伊, 月亮 (FRHoF) 吟游诗人, 自然 (PHB'14) 牧师, 自然 (PHB'14) 牧师, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人, 力量(PSA) (PSA) 牧师, 力量(PSA) (PSA) 牧师","一朵摇曳的火焰出现在你手中，火焰会存在至法术持续时间结束为止。火焰在你手中期间，不会散发任何热量也不会点燃任何东西，发出 20 尺半径的明亮光照，以及其外 20 尺范围的微光光照。此法术会在你再次施展它时提前终止。

直到法术结束为止，你可以用魔法魔法动作向 60 尺内的一名生物或一个物件丢出火焰。进行一次远程法术攻击。命中时，目标将受到1d8点火焰伤害。",戏法强化 Cantrip Upgrade. 到达特定等级后，此戏法的伤害将增加1d8：5 级（2d8）、11 级（3d8）、17 级（4d8）。
燃烧之手,PHB'24,248,1环,动作,立即,塑能,自身,"声音, 姿势","术士 (PHB'24), 法师 (PHB'24)",,"光明 (PHB'24) 牧师, 塑能师 (PHB'24) 法师, 大地 (荒漠) (PHB'24) 德鲁伊, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人, 邪魔 (PHB'24) 魔契师","你向前喷射出一片火焰。处于 15 尺锥状区域内的生物必须进行一次敏捷豁免。豁免失败者受到3d6火焰伤害，豁免成功则受到半数伤害。

在此锥状区域内的未被着装或携带的易燃物件会开始燃烧。",升环施法 Using a Higher-Level Spell Slot. 你使用的法术位每比一环高一环，此法术的伤害就会提升1d6。
物件定位术,PHB'24,293,2环,动作,"专注, 至多10 分钟",预言,自身,"声音, 姿势, 材料 (一根分叉的树枝)","吟游诗人 (PHB'24), 圣武士 (PHB'24), 德鲁伊 (PHB'24), 法师 (PHB'24), 游侠 (PHB'24), 牧师 (PHB'24)",,"制图师 (EFA) 奇械师, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人, 预言师 (PHB'24) 法师","你点名或描述一个你熟悉的物件。只要该物件与你相距不超过 1000 尺，你就会感测到该物件的方位。如果该物件正在移动，则你也将知晓其移动的方向。

该法术可定位一个你认识的特定物件，不过你需要曾经在 30 尺内近距离看到过该物件至少一次；或者它也可定位特定的一类物件（如某种服装、珠宝、家具、工具或武器）中距你最近个体。

如果有任意厚度的铅，即使只是薄薄一片铅片阻挡了你与被定位物件间的通路，则该物件也无法被该法术所定位。",
猎人印记,PHB'24,287,1环,附赠动作,"专注, 至多1 小时",预言,90 尺,声音,游侠 (PHB'24),,"复仇 (PHB'24) 圣武士, 逸闻 (PHB'14) 吟游诗人","你指定施法距离内一个你能看见的生物并以魔法标记其作为你的猎物。直至法术终止前，你每次以任何攻击命中该目标时都会额外造成1d6点力场伤害，且每当你为寻找目标生物而进行感知（察觉或求生）检定时都具有优势。

如果在法术结束前目标生命值降至 0，则你可以用附赠动作将标记转移至施法距离内的另一个可见生物。",升环施法 Using a Higher-Level Spell Slot. 使用三环或四环法术位施展该法术时，其专注可以维持至多 8 小时。使用环阶 5+ 的法术位施展该法术时，其专注可以维持至多 24 小时。
生命灵光,PHB'24,244,4环,动作,"专注, 至多10 分钟",防护,自身,声音,"圣武士 (PHB'24), 牧师 (PHB'24)",,"生命 (PHB'24) 牧师, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士",一道灵光自你身上发出并形成 30 尺半径的光环区域。在灵光范围内时，你和你的盟友获得对暗蚀伤害的抗性，生命值上限也无法被降低。另外，生命值为0的盟友在灵光范围内开始其回合时，恢复1点生命值。,
生物定位术,PHB'24,292,4环,动作,"专注, 至多1 小时",预言,自身,"声音, 姿势, 材料 (一块寻血猎犬的皮毛)","吟游诗人 (PHB'24), 圣武士 (PHB'24), 德鲁伊 (PHB'24), 法师 (PHB'24), 游侠 (PHB'24), 牧师 (PHB'24)",,"制图师 (EFA) 奇械师, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 预言师 (PHB'24) 法师","你点名或描述一个你熟悉的生物。只要该生物与你相距不超过 1000 尺，你就会感测到该生物的方位。如果该生物正在移动，则你也将知晓其移动的方向。

该法术可以定位一个你认识的特定生物；或者它也可以定位特定的一类生物（例如人类或独角兽）中距你最近的个体，不过你需要曾经在 30 尺的近距离内看到过该类生物至少一次。如果被点名或描述的生物并不处于其原本的形态（例如正被一个石化术或变形术的法术效应影响），则该法术无法定位该生物。

如果有任意厚度的铅，即使只是薄薄一片铅片阻挡了你与被定位生物间的通路，则该生物也无法被该法术所定位。",
电爪,PHB'24,316,戏法,动作,立即,塑能,触及,"声音, 姿势","奇械师 (EFA), 术士 (PHB'24), 法师 (PHB'24)",,"塑能师 (PHB'24) 法师, 大地 (温带) (PHB'24) 德鲁伊, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人",你放出闪电，击向一名你试图触碰的生物。对目标发动一次近战法术攻击。若命中，则目标受到1d8点闪电伤害，并且在其下一回合开始前不能执行借机攻击。,戏法强化 Cantrip Upgrade. 到达特定等级后，此戏法的伤害将增加1d8：5 级（2d8）、11 级（3d8）、17 级（4d8）。
疗伤术,PHB'24,259,1环,动作,立即,防护,触及,"声音, 姿势","吟游诗人 (PHB'24), 圣武士 (PHB'24), 奇械师 (EFA), 德鲁伊 (PHB'24), 游侠 (PHB'24), 牧师 (PHB'24)",,"咒火 (FRHoF) 术士, 天界 (PHB'24) 魔契师, 月亮 (PHB'24) 德鲁伊, 生命 (PHB'24) 牧师, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人",你触碰的一名生物恢复等同于2d8加你施法属性调整值点生命值。,升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比一环高一环，此法术的治疗量就增加2d8点。
