名称,来源,页码,Rarity,Type,Attunement,Damage,Properties,Mastery,Weight,Value,Text
触月长剑,DMG'24,280,common,"武器 (长剑), 军用武器, 近战武器",,1d8 挥砍,多用 (1d10),精通: 削弱,3 磅,,"在 黑暗 中，这把武器的出鞘剑身会散发出月光，在 15 英尺半径内创造 明亮光照，并在额外 15 英尺范围内创造 微光光照。

多用 Versatile. 多用武器可以单手使用也可以双手使用。该词条后将跟随一个括号，其内的伤害数值即为双手持用该武器进行近战攻击时的伤害。

精通: 削弱. 当你用这把武器命中一个生物时，直到你的下一回合开始前，该生物的下一次攻击检定将具有劣势。"
触须权杖,DMG'24,316,rare,权杖,需同调,,,,2 磅,,这根权杖的末端长着三条有弹性的触须。持握这根权杖时，你可以执行魔法动作来指挥触手向外伸展，每一条都会对你可见的15尺之内的一个生物发动攻击。为每条触须进行+9加值的近战攻击检定。单条触须命中时会造成1d6心灵伤害。如果你用三条触须击中同一目标，则该目标必须成功通过DC 15的敏捷豁免，否则将陷入束缚状态。束缚将持续直至你陷入失能状态，花费附赠动作放开目标或目标不再处于你的15尺之内时。当目标被以此法束缚时，在其每个回合开始时都会受到3d6心灵伤害。目标在其每回合结束时可以重新进行这次豁免，豁免成功则终止其身上的效应。
誓仇弓,DMG'24,282,very rare,通用变体,需同调,,,,,,"当你将箭搭在这把弓上时，它会用精灵语低语：""速降败于我敌。"" 当你使用此武器进行远程攻击时，你可以说出或打出以下命令词：""速降死予我仇。"" 你的攻击目标将成为你的誓敌，直到它死亡或七天后黎明之时。你一次只能有一个这样的誓敌。当你的誓敌死亡后，你可以在下一个黎明后选择一个新的誓敌。

当你使用这件武器对宣誓的敌人进行远程攻击检定时，你在这次投掷上拥有优势。此外，你的目标无法从半身掩护或四分之三掩护中获得任何好处，你不会因远距离而受到劣势。如果攻击命中，你的宣誓敌人将额外受到3d6穿刺damage。

此外，当武器在你身上时，每当你在战斗中受到另一个生物的伤害时，你必须在智慧检定中掷出15或以上的结果。如果检定失败，你必须攻击伤害你的生物，直到你的生命值降到0（使用劣势）或者它的生命值降到0，或者直到你无法接触到该生物进行近战攻击。

基础物品 Base items. 这个变体物品可以应用于以下基础物品:

短弓 (誓仇短弓)长弓 (誓仇长弓)"
誓仇短弓,DMG'24,282,very rare,"武器 (短弓), 简易武器, 远程武器",需同调,1d6 穿刺,"双手, 弹药 (射程 80/320\xa0尺; 箭)",精通: 侵扰,2 磅,,"当你将箭搭在这把弓上时，它会用精灵语低语：""速降败于我敌。"" 当你使用此武器进行远程攻击时，你可以说出或打出以下命令词：""速降死予我仇。"" 你的攻击目标将成为你的誓敌，直到它死亡或七天后黎明之时。你一次只能有一个这样的誓敌。当你的誓敌死亡后，你可以在下一个黎明后选择一个新的誓敌。

当你使用这件武器对宣誓的敌人进行远程攻击检定时，你在这次投掷上拥有优势。此外，你的目标无法从半身掩护或四分之三掩护中获得任何好处，你不会因远距离而受到劣势。如果攻击命中，你的宣誓敌人将额外受到3d6穿刺damage。

此外，当武器在你身上时，每当你在战斗中受到另一个生物的伤害时，你必须在智慧检定中掷出15或以上的结果。如果检定失败，你必须攻击伤害你的生物，直到你的生命值降到0（使用劣势）或者它的生命值降到0，或者直到你无法接触到该生物进行近战攻击。

射程 Range. 远程武器在弹药或投掷属性后的括号内有一个射程。射程列出了两个数字。第一个是武器的正常射程（以英尺为单位），第二个是武器的长射程。当攻击超出正常射程的目标时，你在攻击检定上具有劣势。你不能攻击超出长射程的目标。

弹药 Ammunition. 使用具有弹药属性的武器发动远程攻击时，你必须拥有该武器需求的弹药。所需弹药的种类会与武器的射程写在一起。每次使用该武器攻击都会花费一枚弹药，且取出该弹药的行为视为此次攻击的一部分（你需要一只空手来为一把单手武器的弹药上膛或上弦）。在战斗结束后，你可以花费一分钟搜索战场，以回收你在战斗中所消耗的弹药的一半（向下取整），而剩下的那些弹药将会损失。

双手 Two-Handed. 用双手武器攻击时，你需要双手并用。

精通: 侵扰. 当你用这把武器命中一个生物并对其造成伤害时，直到你的下一回合结束前，你对该生物的下一次攻击检定将具有优势。"
誓仇长弓,DMG'24,282,very rare,"武器 (长弓), 军用武器, 远程武器",需同调,1d8 穿刺,"双手, 弹药 (射程 150/600\xa0尺; 箭), 重型",精通: 缓速,2 磅,,"当你将箭搭在这把弓上时，它会用精灵语低语：""速降败于我敌。"" 当你使用此武器进行远程攻击时，你可以说出或打出以下命令词：""速降死予我仇。"" 你的攻击目标将成为你的誓敌，直到它死亡或七天后黎明之时。你一次只能有一个这样的誓敌。当你的誓敌死亡后，你可以在下一个黎明后选择一个新的誓敌。

当你使用这件武器对宣誓的敌人进行远程攻击检定时，你在这次投掷上拥有优势。此外，你的目标无法从半身掩护或四分之三掩护中获得任何好处，你不会因远距离而受到劣势。如果攻击命中，你的宣誓敌人将额外受到3d6穿刺damage。

此外，当武器在你身上时，每当你在战斗中受到另一个生物的伤害时，你必须在智慧检定中掷出15或以上的结果。如果检定失败，你必须攻击伤害你的生物，直到你的生命值降到0（使用劣势）或者它的生命值降到0，或者直到你无法接触到该生物进行近战攻击。

射程 Range. 远程武器在弹药或投掷属性后的括号内有一个射程。射程列出了两个数字。第一个是武器的正常射程（以英尺为单位），第二个是武器的长射程。当攻击超出正常射程的目标时，你在攻击检定上具有劣势。你不能攻击超出长射程的目标。

弹药 Ammunition. 使用具有弹药属性的武器发动远程攻击时，你必须拥有该武器需求的弹药。所需弹药的种类会与武器的射程写在一起。每次使用该武器攻击都会花费一枚弹药，且取出该弹药的行为视为此次攻击的一部分（你需要一只空手来为一把单手武器的弹药上膛或上弦）。在战斗结束后，你可以花费一分钟搜索战场，以回收你在战斗中所消耗的弹药的一半（向下取整），而剩下的那些弹药将会损失。

重型 Heavy. 如果你的力量属性值低于 13 点，则你用重型近战武器发动的攻击检定具有劣势；如果你的敏捷属性值低于 13 点，则你用重型远程武器发动的攻击检定具有劣势。

双手 Two-Handed. 用双手武器攻击时，你需要双手并用。

精通: 缓速. 如果你用这个武器击中一个生物并对其造成伤害，你可以将其速度减少10英尺，直到你的下一回合开始。如果该生物被具有此属性的武器击中不止一次，速度的减少不会超过10英尺。"
警戒三叉戟,DMG'24,324,uncommon,"武器 (三叉戟), 军用武器, 近战武器",需同调,1d8 穿刺,"多用 (1d10), 投掷 (20/60 尺)",精通: 失衡,4 磅,,"只要这件武器在你触手可及的范围内，并且你已与之调谐，你和30英尺内的盟友将获得以下好处。

警报术 Alarm. 在对生物造成额外伤害后，弹药变为非魔法物品。

超然备战 Supernatural Readiness. 每个对象在其先攻检定上具有优势。

投掷 Thrown. 如果一把武器具有投掷属性，你可以把它投掷出去来发动一次远程攻击。同时，拔出这把武器可以视作这次攻击的一部分。如果投掷出去的武器是一把近战武器，则你在攻击检定和伤害掷骰中使用与你用其发动近战攻击时相同的属性调整值。

多用 Versatile. 多用武器可以单手使用也可以双手使用。该词条后将跟随一个括号，其内的伤害数值即为双手持用该武器进行近战攻击时的伤害。

精通: 失衡. 如果你用此武器击中一个生物，你可以迫使该生物进行一次体质豁免检定（DC 8 加上用于进行攻击掷骰的能力调整值以及你的熟练加值）。豁免失败时，该生物获得倒地状态。"
警戒之盾,DMG'24,303,uncommon,盾牌 (盾牌),,AC +2,,,6 磅,,持握这面盾牌期间，你进行的先攻检定和感知（察觉）检定具有优势。这面盾牌上的纹章是一只眼睛的图案。
警戒之矛,DMG'24,324,uncommon,"武器 (矛), 简易武器, 近战武器",需同调,1d6 穿刺,"多用 (1d8), 投掷 (20/60 尺)",精通: 削弱,3 磅,,"只要这件武器在你触手可及的范围内，并且你已与之调谐，你和30英尺内的盟友将获得以下好处。

警报术 Alarm. 在对生物造成额外伤害后，弹药变为非魔法物品。

超然备战 Supernatural Readiness. 每个对象在其先攻检定上具有优势。

投掷 Thrown. 如果一把武器具有投掷属性，你可以把它投掷出去来发动一次远程攻击。同时，拔出这把武器可以视作这次攻击的一部分。如果投掷出去的武器是一把近战武器，则你在攻击检定和伤害掷骰中使用与你用其发动近战攻击时相同的属性调整值。

多用 Versatile. 多用武器可以单手使用也可以双手使用。该词条后将跟随一个括号，其内的伤害数值即为双手持用该武器进行近战攻击时的伤害。

精通: 削弱. 当你用这把武器命中一个生物时，直到你的下一回合开始前，该生物的下一次攻击检定将具有劣势。"
警戒伊库瓦短矛,DMG'24,324,uncommon,"武器 (伊库瓦短矛), 简易武器, 近战武器",需同调,1d8 穿刺,投掷 (10/30\xa0尺),,3 磅,,"此武器的基础版本请查阅《湮灭之墓》第32页。

只要这件武器在你触手可及的范围内，并且你已与之调谐，你和30英尺内的盟友将获得以下好处。

警报术 Alarm. 在对生物造成额外伤害后，弹药变为非魔法物品。

超然备战 Supernatural Readiness. 每个对象在其先攻检定上具有优势。

伊克瓦（发音为YICK-ul-wah）是一种简单的近战武器，是楚尔坦战士的传统武器。伊克瓦由一根3尺长的木柄和一把长达18英寸的钢制或石制刀片组成。尽管它具有投掷武器的特性，但伊克瓦并不适合投掷。

投掷 Thrown. 具有投掷属性的武器可以用来发动一次投掷的远程攻击。如果该武器是一把近战武器，则你以其进行近战攻击时，加于攻击检定和伤害掷骰中的属性调整值同样适用于以其进行的远程攻击。例如，投掷一把手斧时，你使用力量调整值；而投掷一把匕首时，由于其具有灵巧属性，你可以选择使用力量调整值或敏捷调整值。"
警戒刺剑,DMG'24,324,uncommon,"武器 (刺剑), 军用武器, 近战武器",需同调,1d8 穿刺,灵巧,精通: 侵扰,2 磅,,"只要这件武器在你触手可及的范围内，并且你已与之调谐，你和30英尺内的盟友将获得以下好处。

警报术 Alarm. 在对生物造成额外伤害后，弹药变为非魔法物品。

超然备战 Supernatural Readiness. 每个对象在其先攻检定上具有优势。

灵巧 Finesse. 使用一把灵巧武器发动攻击时，你可以自由选择此次攻击检定与伤害掷骰使用力量调整值还是敏捷调整值。但是攻击检定与伤害掷骰必须使用同一个调整值。

精通: 侵扰. 当你用这把武器命中一个生物并对其造成伤害时，直到你的下一回合结束前，你对该生物的下一次攻击检定将具有优势。"
警戒匕首,DMG'24,324,uncommon,"武器 (匕首), 简易武器, 近战武器",需同调,1d4 穿刺,"投掷 (20/60 尺), 灵巧, 轻型",精通: 迅击,1 磅,,"只要这件武器在你触手可及的范围内，并且你已与之调谐，你和30英尺内的盟友将获得以下好处。

警报术 Alarm. 在对生物造成额外伤害后，弹药变为非魔法物品。

超然备战 Supernatural Readiness. 每个对象在其先攻检定上具有优势。

灵巧 Finesse. 使用一把灵巧武器发动攻击时，你可以自由选择此次攻击检定与伤害掷骰使用力量调整值还是敏捷调整值。但是攻击检定与伤害掷骰必须使用同一个调整值。

轻型 Light. 当你在自己回合中执行攻击动作，并用一把轻型武器发动一次攻击后，你可以在同一回合中用附赠动作发动一次额外的攻击。这次额外的攻击你必须使用另一把轻型武器发动，并且这次攻击的伤害无法加入你的属性调整值（除非该调整值为负数）。例如，若你在你的回合中执行了攻击动作，一只手手持短剑，另一只手手持匕首，而这两把武器均有轻型词条，则你可以使用你的动作和附赠动作，来用这两把武器各发动一次攻击。但你不能将力量或敏捷调整值加入附赠动作攻击武器的造成的伤害中（除非该调整值为负数）。

投掷 Thrown. 如果一把武器具有投掷属性，你可以把它投掷出去来发动一次远程攻击。同时，拔出这把武器可以视作这次攻击的一部分。如果投掷出去的武器是一把近战武器，则你在攻击检定和伤害掷骰中使用与你用其发动近战攻击时相同的属性调整值。

精通: 迅击. 当你进行轻型属性的额外攻击时，你可以将其作为攻击动作的一部分进行，而不是作为附赠动作。每个回合中你只能进行这一次额外攻击。"
警戒半自动手枪,DMG'24,324,uncommon,"武器 (半自动手枪), 现代, 军用武器, 远程武器, 枪械",需同调,2d6 穿刺,"弹容 (15 发), 弹药 (50/150\xa0尺; 枪械子弹)",精通: 侵扰,3 磅,,"只要这件武器在你触手可及的范围内，并且你已与之调谐，你和30英尺内的盟友将获得以下好处。

警报术 Alarm. 在对生物造成额外伤害后，弹药变为非魔法物品。

超然备战 Supernatural Readiness. 每个对象在其先攻检定上具有优势。

射程 Range. 远程武器在弹药或投掷属性后的括号内有一个射程。射程列出了两个数字。第一个是武器的正常射程（以英尺为单位），第二个是武器的长射程。当攻击超出正常射程的目标时，你在攻击检定上具有劣势。你不能攻击超出长射程的目标。

弹药 Ammunition. 现代火器使用后，子弹即被销毁。未来式枪械使用的是能量单元，这些能量单元在耗尽时可能通过适当的设备进行再充电，具体由游戏主持人决定。

弹容 Reload. 你可以使用重新装填武器进行有限次数的射击。然后，你必须以一个动作或附赠动作的方式重新装填武器。

精通: 侵扰. 当你用这把武器命中一个生物并对其造成伤害时，直到你的下一回合结束前，你对该生物的下一次攻击检定将具有优势。"
警戒双刃弯刀,DMG'24,324,uncommon,"武器 (双刃弯刀), 军用武器, 近战武器",需同调,2d4 挥砍,"双手, 特殊",,6 磅,,"此武器的基础版本请查阅《艾伯伦：从终末战争中崛起》第21页。

只要这件武器在你触手可及的范围内，并且你已与之调谐，你和30英尺内的盟友将获得以下好处。

警报术 Alarm. 在对生物造成额外伤害后，弹药变为非魔法物品。

超然备战 Supernatural Readiness. 每个对象在其先攻检定上具有优势。

特殊 Special. 如果你在你的回合使用双刃弯刀作为攻击动作的一部分进行攻击，你可以在之后立即使用一个奖励动作用它进行近战攻击。这次攻击在命中时造成1d4点挥砍伤害，而不是2d4。

双手 Two-Handed. 用该武器攻击时你需要双手并用。这个特性仅在你用武器攻击时生效，仅仅持有它时不要求双手。"
警戒反物质步枪,DMG'24,324,uncommon,"武器 (反物质步枪), 未来, 军用武器, 远程武器, 枪械",需同调,6d8 黯蚀,"双手, 弹容 (2 发), 弹药 (120/360\xa0尺; 能量电池)",精通: 削弱,10 磅,,"只要这件武器在你触手可及的范围内，并且你已与之调谐，你和30英尺内的盟友将获得以下好处。

警报术 Alarm. 在对生物造成额外伤害后，弹药变为非魔法物品。

超然备战 Supernatural Readiness. 每个对象在其先攻检定上具有优势。

射程 Range. 远程武器在弹药或投掷属性后的括号内有一个射程。射程列出了两个数字。第一个是武器的正常射程（以英尺为单位），第二个是武器的长射程。当攻击超出正常射程的目标时，你在攻击检定上具有劣势。你不能攻击超出长射程的目标。

弹药 Ammunition. 现代火器使用后，子弹即被销毁。未来式枪械使用的是能量单元，这些能量单元在耗尽时可能通过适当的设备进行再充电，具体由游戏主持人决定。

弹容 Reload. 你可以使用重新装填武器进行有限次数的射击。然后，你必须以一个动作或附赠动作的方式重新装填武器。

双手 Two-Handed. 用双手武器攻击时，你需要双手并用。

精通: 削弱. 当你用这把武器命中一个生物时，直到你的下一回合开始前，该生物的下一次攻击检定将具有劣势。"
警戒吹箭筒,DMG'24,324,uncommon,"武器 (吹箭筒), 军用武器, 远程武器",需同调,1 穿刺,"弹药 (射程 25/100\xa0尺; 针), 装填",精通: 侵扰,1 磅,,"只要这件武器在你触手可及的范围内，并且你已与之调谐，你和30英尺内的盟友将获得以下好处。

警报术 Alarm. 在对生物造成额外伤害后，弹药变为非魔法物品。

超然备战 Supernatural Readiness. 每个对象在其先攻检定上具有优势。

射程 Range. 远程武器在弹药或投掷属性后的括号内有一个射程。射程列出了两个数字。第一个是武器的正常射程（以英尺为单位），第二个是武器的长射程。当攻击超出正常射程的目标时，你在攻击检定上具有劣势。你不能攻击超出长射程的目标。

弹药 Ammunition. 使用具有弹药属性的武器发动远程攻击时，你必须拥有该武器需求的弹药。所需弹药的种类会与武器的射程写在一起。每次使用该武器攻击都会花费一枚弹药，且取出该弹药的行为视为此次攻击的一部分（你需要一只空手来为一把单手武器的弹药上膛或上弦）。在战斗结束后，你可以花费一分钟搜索战场，以回收你在战斗中所消耗的弹药的一半（向下取整），而剩下的那些弹药将会损失。

装填 Loading. 当你使用动作、附赠动作或反应来射击装填类武器时，你只能发射一枚弹药，不管你通常可以进行多少次攻击。

精通: 侵扰. 当你用这把武器命中一个生物并对其造成伤害时，直到你的下一回合结束前，你对该生物的下一次攻击检定将具有优势。"
警戒左轮枪,DMG'24,324,uncommon,"武器 (左轮枪), 现代, 军用武器, 远程武器, 枪械",需同调,2d8 穿刺,"弹容 (6 发), 弹药 (40/120\xa0尺; 枪械子弹)",精通: 削弱,3 磅,,"只要这件武器在你触手可及的范围内，并且你已与之调谐，你和30英尺内的盟友将获得以下好处。

警报术 Alarm. 在对生物造成额外伤害后，弹药变为非魔法物品。

超然备战 Supernatural Readiness. 每个对象在其先攻检定上具有优势。

射程 Range. 远程武器在弹药或投掷属性后的括号内有一个射程。射程列出了两个数字。第一个是武器的正常射程（以英尺为单位），第二个是武器的长射程。当攻击超出正常射程的目标时，你在攻击检定上具有劣势。你不能攻击超出长射程的目标。

弹药 Ammunition. 现代火器使用后，子弹即被销毁。未来式枪械使用的是能量单元，这些能量单元在耗尽时可能通过适当的设备进行再充电，具体由游戏主持人决定。

弹容 Reload. 你可以使用重新装填武器进行有限次数的射击。然后，你必须以一个动作或附赠动作的方式重新装填武器。

精通: 削弱. 当你用这把武器命中一个生物时，直到你的下一回合开始前，该生物的下一次攻击检定将具有劣势。"
警戒巨剑,DMG'24,324,uncommon,"武器 (巨剑), 军用武器, 近战武器",需同调,2d6 挥砍,"双手, 重型",精通: 擦掠,6 磅,,"只要这件武器在你触手可及的范围内，并且你已与之调谐，你和30英尺内的盟友将获得以下好处。

警报术 Alarm. 在对生物造成额外伤害后，弹药变为非魔法物品。

超然备战 Supernatural Readiness. 每个对象在其先攻检定上具有优势。

重型 Heavy. 如果你的力量属性值低于 13 点，则你用重型近战武器发动的攻击检定具有劣势；如果你的敏捷属性值低于 13 点，则你用重型远程武器发动的攻击检定具有劣势。

双手 Two-Handed. 用双手武器攻击时，你需要双手并用。

精通: 擦掠. 当你以这把武器对一个生物发动的攻击检定失手时，你仍可以对目标生物造成一定伤害。其数额等同于此次攻击所使用的属性调整值，其伤害类型与你所使用的武器一致，并且这个伤害只能通过属性调整值的提高而增长。"
警戒巨斧,DMG'24,324,uncommon,"武器 (巨斧), 军用武器, 近战武器",需同调,1d12 挥砍,"双手, 重型",精通: 横扫,7 磅,,"只要这件武器在你触手可及的范围内，并且你已与之调谐，你和30英尺内的盟友将获得以下好处。

警报术 Alarm. 在对生物造成额外伤害后，弹药变为非魔法物品。

超然备战 Supernatural Readiness. 每个对象在其先攻检定上具有优势。

重型 Heavy. 如果你的力量属性值低于 13 点，则你用重型近战武器发动的攻击检定具有劣势；如果你的敏捷属性值低于 13 点，则你用重型远程武器发动的攻击检定具有劣势。

双手 Two-Handed. 用双手武器攻击时，你需要双手并用。

精通: 横扫. 当你用这把武器进行的近战攻击检定命中一个生物时，你可以用该武器对位于该生物 5 尺内，且同样身处你触及范围内的另一生物再进行一次近战攻击检定。命中时，第二个生物也会受到此武器的伤害，但你无法将你的属性调整值加入这次伤害中（除非该调整值为负数）。每个回合中你只能发动一次横扫的额外攻击。"
警戒巨棒,DMG'24,324,uncommon,"武器 (巨棒), 简易武器, 近战武器",需同调,1d8 钝击,双手,精通: 推离,10 磅,,"只要这件武器在你触手可及的范围内，并且你已与之调谐，你和30英尺内的盟友将获得以下好处。

警报术 Alarm. 在对生物造成额外伤害后，弹药变为非魔法物品。

超然备战 Supernatural Readiness. 每个对象在其先攻检定上具有优势。

双手 Two-Handed. 用双手武器攻击时，你需要双手并用。

精通: 推离. 当你用这把武器命中一个生物时，如果该生物的体型不超过大型，则你可以将这个生物从你身边直线推离至多 10 尺。"
警戒巨锤,DMG'24,324,uncommon,"武器 (巨锤), 军用武器, 近战武器",需同调,2d6 钝击,"双手, 重型",精通: 失衡,10 磅,,"只要这件武器在你触手可及的范围内，并且你已与之调谐，你和30英尺内的盟友将获得以下好处。

警报术 Alarm. 在对生物造成额外伤害后，弹药变为非魔法物品。

超然备战 Supernatural Readiness. 每个对象在其先攻检定上具有优势。

重型 Heavy. 如果你的力量属性值低于 13 点，则你用重型近战武器发动的攻击检定具有劣势；如果你的敏捷属性值低于 13 点，则你用重型远程武器发动的攻击检定具有劣势。

双手 Two-Handed. 用双手武器攻击时，你需要双手并用。

精通: 失衡. 如果你用此武器击中一个生物，你可以迫使该生物进行一次体质豁免检定（DC 8 加上用于进行攻击掷骰的能力调整值以及你的熟练加值）。豁免失败时，该生物获得倒地状态。"
警戒弯刀,DMG'24,324,uncommon,"武器 (弯刀), 军用武器, 近战武器",需同调,1d6 挥砍,"灵巧, 轻型",精通: 迅击,3 磅,,"只要这件武器在你触手可及的范围内，并且你已与之调谐，你和30英尺内的盟友将获得以下好处。

警报术 Alarm. 在对生物造成额外伤害后，弹药变为非魔法物品。

超然备战 Supernatural Readiness. 每个对象在其先攻检定上具有优势。

灵巧 Finesse. 使用一把灵巧武器发动攻击时，你可以自由选择此次攻击检定与伤害掷骰使用力量调整值还是敏捷调整值。但是攻击检定与伤害掷骰必须使用同一个调整值。

轻型 Light. 当你在自己回合中执行攻击动作，并用一把轻型武器发动一次攻击后，你可以在同一回合中用附赠动作发动一次额外的攻击。这次额外的攻击你必须使用另一把轻型武器发动，并且这次攻击的伤害无法加入你的属性调整值（除非该调整值为负数）。例如，若你在你的回合中执行了攻击动作，一只手手持短剑，另一只手手持匕首，而这两把武器均有轻型词条，则你可以使用你的动作和附赠动作，来用这两把武器各发动一次攻击。但你不能将力量或敏捷调整值加入附赠动作攻击武器的造成的伤害中（除非该调整值为负数）。

精通: 迅击. 当你进行轻型属性的额外攻击时，你可以将其作为攻击动作的一部分进行，而不是作为附赠动作。每个回合中你只能进行这一次额外攻击。"
警戒战斧,DMG'24,324,uncommon,"武器 (战斧), 军用武器, 近战武器",需同调,1d8 挥砍,多用 (1d10),精通: 失衡,4 磅,,"只要这件武器在你触手可及的范围内，并且你已与之调谐，你和30英尺内的盟友将获得以下好处。

警报术 Alarm. 在对生物造成额外伤害后，弹药变为非魔法物品。

超然备战 Supernatural Readiness. 每个对象在其先攻检定上具有优势。

多用 Versatile. 多用武器可以单手使用也可以双手使用。该词条后将跟随一个括号，其内的伤害数值即为双手持用该武器进行近战攻击时的伤害。

精通: 失衡. 如果你用此武器击中一个生物，你可以迫使该生物进行一次体质豁免检定（DC 8 加上用于进行攻击掷骰的能力调整值以及你的熟练加值）。豁免失败时，该生物获得倒地状态。"
警戒战锤,DMG'24,324,uncommon,"武器 (战锤), 军用武器, 近战武器",需同调,1d8 钝击,多用 (1d10),精通: 推离,5 磅,,"只要这件武器在你触手可及的范围内，并且你已与之调谐，你和30英尺内的盟友将获得以下好处。

警报术 Alarm. 在对生物造成额外伤害后，弹药变为非魔法物品。

超然备战 Supernatural Readiness. 每个对象在其先攻检定上具有优势。

多用 Versatile. 多用武器可以单手使用也可以双手使用。该词条后将跟随一个括号，其内的伤害数值即为双手持用该武器进行近战攻击时的伤害。

精通: 推离. 当你用这把武器命中一个生物时，如果该生物的体型不超过大型，则你可以将这个生物从你身边直线推离至多 10 尺。"
警戒战镐,DMG'24,324,uncommon,"武器 (战镐), 军用武器, 近战武器",需同调,1d8 穿刺,多用 (1d10),精通: 削弱,2 磅,,"只要这件武器在你触手可及的范围内，并且你已与之调谐，你和30英尺内的盟友将获得以下好处。

警报术 Alarm. 在对生物造成额外伤害后，弹药变为非魔法物品。

超然备战 Supernatural Readiness. 每个对象在其先攻检定上具有优势。

多用 Versatile. 多用武器可以单手使用也可以双手使用。该词条后将跟随一个括号，其内的伤害数值即为双手持用该武器进行近战攻击时的伤害。

精通: 削弱. 当你用这把武器命中一个生物时，直到你的下一回合开始前，该生物的下一次攻击检定将具有劣势。"
警戒手弩,DMG'24,324,uncommon,"武器 (手弩), 军用武器, 远程武器",需同调,1d6 穿刺,"弹药 (射程 30/120\xa0尺; 弩矢), 装填, 轻型",精通: 侵扰,3 磅,,"只要这件武器在你触手可及的范围内，并且你已与之调谐，你和30英尺内的盟友将获得以下好处。

警报术 Alarm. 在对生物造成额外伤害后，弹药变为非魔法物品。

超然备战 Supernatural Readiness. 每个对象在其先攻检定上具有优势。

射程 Range. 远程武器在弹药或投掷属性后的括号内有一个射程。射程列出了两个数字。第一个是武器的正常射程（以英尺为单位），第二个是武器的长射程。当攻击超出正常射程的目标时，你在攻击检定上具有劣势。你不能攻击超出长射程的目标。

弹药 Ammunition. 使用具有弹药属性的武器发动远程攻击时，你必须拥有该武器需求的弹药。所需弹药的种类会与武器的射程写在一起。每次使用该武器攻击都会花费一枚弹药，且取出该弹药的行为视为此次攻击的一部分（你需要一只空手来为一把单手武器的弹药上膛或上弦）。在战斗结束后，你可以花费一分钟搜索战场，以回收你在战斗中所消耗的弹药的一半（向下取整），而剩下的那些弹药将会损失。

轻型 Light. 当你在自己回合中执行攻击动作，并用一把轻型武器发动一次攻击后，你可以在同一回合中用附赠动作发动一次额外的攻击。这次额外的攻击你必须使用另一把轻型武器发动，并且这次攻击的伤害无法加入你的属性调整值（除非该调整值为负数）。例如，若你在你的回合中执行了攻击动作，一只手手持短剑，另一只手手持匕首，而这两把武器均有轻型词条，则你可以使用你的动作和附赠动作，来用这两把武器各发动一次攻击。但你不能将力量或敏捷调整值加入附赠动作攻击武器的造成的伤害中（除非该调整值为负数）。

装填 Loading. 当你使用动作、附赠动作或反应来射击装填类武器时，你只能发射一枚弹药，不管你通常可以进行多少次攻击。

精通: 侵扰. 当你用这把武器命中一个生物并对其造成伤害时，直到你的下一回合结束前，你对该生物的下一次攻击检定将具有优势。"
警戒手斧,DMG'24,324,uncommon,"武器 (手斧), 简易武器, 近战武器",需同调,1d6 挥砍,"投掷 (20/60 尺), 轻型",精通: 侵扰,2 磅,,"只要这件武器在你触手可及的范围内，并且你已与之调谐，你和30英尺内的盟友将获得以下好处。

警报术 Alarm. 在对生物造成额外伤害后，弹药变为非魔法物品。

超然备战 Supernatural Readiness. 每个对象在其先攻检定上具有优势。

轻型 Light. 当你在自己回合中执行攻击动作，并用一把轻型武器发动一次攻击后，你可以在同一回合中用附赠动作发动一次额外的攻击。这次额外的攻击你必须使用另一把轻型武器发动，并且这次攻击的伤害无法加入你的属性调整值（除非该调整值为负数）。例如，若你在你的回合中执行了攻击动作，一只手手持短剑，另一只手手持匕首，而这两把武器均有轻型词条，则你可以使用你的动作和附赠动作，来用这两把武器各发动一次攻击。但你不能将力量或敏捷调整值加入附赠动作攻击武器的造成的伤害中（除非该调整值为负数）。

投掷 Thrown. 如果一把武器具有投掷属性，你可以把它投掷出去来发动一次远程攻击。同时，拔出这把武器可以视作这次攻击的一部分。如果投掷出去的武器是一把近战武器，则你在攻击检定和伤害掷骰中使用与你用其发动近战攻击时相同的属性调整值。

精通: 侵扰. 当你用这把武器命中一个生物并对其造成伤害时，直到你的下一回合结束前，你对该生物的下一次攻击检定将具有优势。"
